ATF	1.0
30	57    
"Type=GenePix Export 3"
"DateTime=2020/07/24 16:49:01"
"Settings=D:\LM\Experiments\lectin print\Nano plotter\Print\CIVIC data\July 27\Genepix settings\2020-07-24-10288622-D0-1.gps"
"GalFile="
"PixelSize=10"
"Wavelengths=532	635"
"ImageFiles=D:\LM\Experiments\lectin print\Nano plotter\Print\CIVIC data\July 27\scanned images\2020-07-24-10288622-D0-1.tif 1	D:\LM\Experiments\lectin print\Nano plotter\Print\CIVIC data\July 27\scanned images\2020-07-24-10288622-D0-1.tif 0"
"NormalizationMethod=None"
"NormalizationFactors=1	1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (532/635)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=530, 2800"
"Creator=GenePix Pro 7.3.0.0"
"Scanner=GenePix 4400 [140135]"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=580	600"
"ScanPower=100	100"
"LaserPower=1.85	1.42"
"Filters=Standard Green	Standard Red"
"ScanRegion=0,0,2200,7200"
"ScanArea=1"
"Supplier="
"Flags"	"Normalize"	"Autoflag"	"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"F532 CV"	"B532"	"B532 Median"	"B532 Mean"	"B532 SD"	"B532 CV"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"F635 Median"	"F635 Mean"	"F635 SD"	"F635 CV"	"B635"	"B635 Median"	"B635 Mean"	"B635 SD"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F532 Total Intensity"	"F635 Total Intensity"	"SNR 532"	"SNR 635"	"Ratio of Medians (532/635)"	"Ratio of Means (532/635)"	"Median of Ratios (532/635)"	"Mean of Ratios (532/635)"	"Ratios SD (532/635)"	"Rgn Ratio (532/635)"	"Rgn R2 (532/635)"	"Log Ratio (532/635)"	"F532 Median - B532"	"F635 Median - B635"	"F532 Mean - B532"	"F635 Mean - B635"	"Sum of Medians (532/635)"	"Sum of Means (532/635)"	"F Pixels"	"B Pixels"	"Circularity"	"Index"
0	0	0	1	1	4	""	""	960	4010	170	625	669	293	43	52	52	55	21	38	98	97	0	381	645	1126	174	83	83	89	45	50	99	97	0	139210	134158	29.238	12.356	1.923	1.098	1.961	1.622	2.214	0.309	0.262	0.943	573	298	617	562	871	1179	208	1229	100	46
0	0	0	1	2	4	""	""	1230	4010	180	527	498	249	50	54	54	58	22	37	93	89	0	245	259	105	40	82	82	88	45	51	89	80	0	127417	66399	20.000	3.800	2.902	2.508	2.466	2.267	2.357	2.624	0.675	1.537	473	163	444	177	636	621	256	1160	100	47
0	0	0	1	3	4	""	""	1500	4000	180	471	506	293	57	54	54	58	22	37	91	88	0	271	296	223	75	77	77	82	33	40	90	86	0	129577	75834	20.364	6.485	2.149	2.064	2.188	1.893	2.289	1.953	0.505	1.104	417	194	452	219	611	671	256	1135	100	48
0	0	0	1	4	4	""	""	1770	4010	190	1255	3610	4579	126	55	55	59	22	37	94	91	0	776	1949	2348	120	72	72	78	34	43	95	90	0	924287	498925	161.409	55.029	1.705	1.894	1.758	1.608	2.096	1.966	0.948	0.769	1200	704	3555	1877	1904	5432	256	1256	100	49
0	0	0	1	5	4	""	""	2040	4000	180	1126	2995	3552	118	60	60	64	24	37	93	88	0	840	1541	1749	113	76	76	82	36	43	94	91	0	766606	394489	122.125	40.528	1.395	2.003	1.728	1.443	2.394	2.153	0.820	0.481	1066	764	2935	1465	1830	4400	256	1204	100	50
0	0	0	1	6	4	""	""	2310	4010	180	1097	2667	3288	123	61	61	67	34	50	93	88	0	906	1517	1683	110	94	94	127	189	148	84	71	0	682713	388233	76.471	7.354	1.276	1.831	1.618	1.280	2.865	2.066	0.781	0.351	1036	812	2606	1423	1848	4029	256	1208	100	51
0	0	0	1	7	4	""	""	2580	4010	180	735	3092	4963	160	60	60	64	27	42	86	80	0	11380	10575	8233	77	105	105	125	102	81	91	86	0	791483	2707232	112.148	102.451	0.060	0.290	0.113	0.141	3.192	0.359	0.500	-4.062	675	11275	3032	10470	11950	13502	256	1236	100	52
0	0	0	1	8	4	""	""	2860	4010	180	713	2158	3612	167	60	60	64	24	37	88	83	0	11356	10308	8095	78	106	106	115	61	53	93	90	0	552454	2638804	87.250	167.098	0.058	0.206	0.109	0.126	3.326	0.259	0.525	-4.107	653	11250	2098	10202	11903	12300	256	1188	100	53
0	0	0	1	9	4	""	""	3120	4010	180	634	2563	4142	161	61	61	66	26	39	88	82	0	10130	10214	8222	80	107	107	120	63	52	86	83	0	656109	2614804	96.038	160.222	0.057	0.248	0.094	0.134	3.201	0.304	0.528	-4.129	573	10023	2502	10107	10596	12609	256	1187	100	54
0	0	0	1	10	4	""	""	3400	4010	180	679	736	1047	142	63	63	67	26	38	90	87	0	375	740	3137	423	109	109	117	53	45	87	81	0	188480	189501	25.731	11.755	2.316	1.067	2.023	1.756	2.816	0.327	0.704	1.212	616	266	673	631	882	1304	256	1184	100	55
